uid treatment n p time
timings_reducCol_10_64_7 timings_reducCol 10 64 0.259485960007
timings_reducCol_10_64_8 timings_reducCol 10 64 0.249361038208
timings_reducCol_10_64_9 timings_reducCol 10 64 0.232666015625
timings_reducCol_10_64_10 timings_reducCol 10 64 0.644979000092
timings_reducCol_5000_64_1 timings_reducCol 5000 64 0.427417993546
timings_reducCol_5000_64_2 timings_reducCol 5000 64 0.743280887604
timings_reducCol_5000_64_3 timings_reducCol 5000 64 0.499063014984
timings_reducCol_5000_64_4 timings_reducCol 5000 64 0.762442111969
timings_reducCol_5000_64_5 timings_reducCol 5000 64 0.218703985214
timings_reducCol_5000_64_6 timings_reducCol 5000 64 0.185554027557
timings_reducCol_5000_64_7 timings_reducCol 5000 64 2.31578707695
timings_reducCol_5000_64_8 timings_reducCol 5000 64 0.159335136414
timings_reducCol_5000_64_9 timings_reducCol 5000 64 0.384552955627
timings_reducCol_5000_64_10 timings_reducCol 5000 64 1.33267498016
timings_reducCol_100_256_1 timings_reducCol 100 256 1.21273207664
timings_reducCol_100_256_2 timings_reducCol 100 256 1.18448591232
timings_reducCol_100_256_3 timings_reducCol 100 256 13.459373951
timings_reducCol_100_256_4 timings_reducCol 100 256 1.22555494308
timings_reducCol_100_256_5 timings_reducCol 100 256 1.25132417679
timings_reducCol_100_256_6 timings_reducCol 100 256 1.40858697891
timings_reducCol_100_256_7 timings_reducCol 100 256 1.59569382668
timings_reducCol_100_256_8 timings_reducCol 100 256 2.28184700012
timings_reducCol_100_256_9 timings_reducCol 100 256 2.44152402878
timings_reducCol_100_256_10 timings_reducCol 100 256 1.04703998566
timings_reducCol_10_256_1 timings_reducCol 10 256 1.05044388771
timings_reducCol_10_256_2 timings_reducCol 10 256 1.26764678955
timings_reducCol_10_256_3 timings_reducCol 10 256 1.33517718315
timings_reducCol_10_256_4 timings_reducCol 10 256 1.55274796486
timings_reducCol_10_256_5 timings_reducCol 10 256 0.936697006226
timings_reducCol_10_256_6 timings_reducCol 10 256 0.721972942352
timings_reducCol_10_256_7 timings_reducCol 10 256 1.34289097786
timings_reducCol_10_256_8 timings_reducCol 10 256 0.7124979496
timings_reducCol_10_256_9 timings_reducCol 10 256 0.988034009933
timings_reducCol_10_256_10 timings_reducCol 10 256 1.42382502556
timings_reducCol_5000_256_1 timings_reducCol 5000 256 0.663345813751
timings_reducCol_5000_256_2 timings_reducCol 5000 256 0.930490016937
timings_reducCol_5000_256_3 timings_reducCol 5000 256 0.714916944504
timings_reducCol_5000_256_4 timings_reducCol 5000 256 1.22198009491
